url_path,views_total,views_unique
/ConnorStoneAstro/AutoProf,51,18
/ConnorStoneAstro/AutoProf/tree/github-repo-stats,10,1
/ConnorStoneAstro/AutoProf/actions,7,1
/ConnorStoneAstro/AutoProf/actions/new,5,1
/ConnorStoneAstro/AutoProf/tree/github-repo-stats/ConnorStoneAstro/AutoProf,5,1
/ConnorStoneAstro/AutoProf/tree/main/autoprof,4,2
/ConnorStoneAstro/AutoProf/tree/main/.github/workflows,4,2
/ConnorStoneAstro/AutoProf/actions/workflows/repostats-for-nice-project.yml,4,1
/ConnorStoneAstro/AutoProf/graphs/traffic,4,1
/ConnorStoneAstro/AutoProf/pulse,4,1
