time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-12 00:00:00+00:00,3,3,,
2022-07-13 00:00:00+00:00,2,2,1.0,1.0
2022-07-14 00:00:00+00:00,1,1,12.0,2.0
2022-07-15 00:00:00+00:00,3,3,2.0,1.0
2022-07-16 00:00:00+00:00,3,3,26.0,1.0
2022-07-17 00:00:00+00:00,2,2,,
2022-07-18 00:00:00+00:00,2,2,,
2022-07-19 00:00:00+00:00,2,2,,
2022-07-20 00:00:00+00:00,2,2,,
2022-07-21 00:00:00+00:00,2,2,,
2022-07-22 00:00:00+00:00,2,2,,
2022-07-23 00:00:00+00:00,2,2,1.0,1.0
2022-07-24 00:00:00+00:00,2,2,3.0,1.0
2022-07-25 00:00:00+00:00,1,1,4.0,1.0
