time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-03 00:00:00+00:00,2,2,2.0,2.0
2023-02-04 00:00:00+00:00,6,3,,
2023-02-05 00:00:00+00:00,2,2,,
2023-02-06 00:00:00+00:00,4,3,,
2023-02-07 00:00:00+00:00,3,3,4.0,1.0
2023-02-08 00:00:00+00:00,2,2,,
2023-02-09 00:00:00+00:00,2,2,,
2023-02-10 00:00:00+00:00,7,2,,
2023-02-11 00:00:00+00:00,2,2,,
2023-02-12 00:00:00+00:00,2,2,12.0,1.0
2023-02-13 00:00:00+00:00,3,3,1.0,1.0
2023-02-14 00:00:00+00:00,3,3,2.0,1.0
2023-02-15 00:00:00+00:00,2,2,3.0,2.0
2023-02-16 00:00:00+00:00,21,6,3.0,1.0
