url_path,views_total,views_unique
/ConnorStoneAstro/AutoProf-Legacy,13,4
/ConnorStoneAstro/AutoProf-Legacy/blob/main/autoprof/Pipeline.py,6,1
/ConnorStoneAstro/AutoProf-Legacy/tree/main/autoprof,5,1
/ConnorStoneAstro/AutoProf-Legacy/tree/main/docs,3,1
/ConnorStoneAstro/AutoProf-Legacy/blob/main/requirements.txt,2,2
/ConnorStoneAstro/AutoProf-Legacy/issues,2,1
/ConnorStoneAstro/AutoProf-Legacy/tree/main/.github/workflows,2,1
/ConnorStoneAstro/AutoProf-Legacy/tree/main/test,2,1
/ConnorStoneAstro/AutoProf-Legacy/blob/main/autoprof/autoprof.py,1,1
/ConnorStoneAstro/AutoProf-Legacy/blob/main/docs/extramethods.rst,1,1
