url_path,views_total,views_unique
/ConnorStoneAstro/AutoProf-Legacy,16,3
/ConnorStoneAstro/AutoProf-Legacy/tree/main/autoprof,10,2
/ConnorStoneAstro/AutoProf-Legacy/blob/main/autoprof/autoprof.py,8,2
/ConnorStoneAstro/AutoProf-Legacy/issues,3,2
/ConnorStoneAstro/AutoProf-Legacy/pulls,3,2
/ConnorStoneAstro/AutoProf-Legacy/blob/main/README.md,2,1
/ConnorStoneAstro/AutoProf-Legacy/commit/4fe45bd91d0769b0655d45ab600c4dc887314bc9,2,1
/ConnorStoneAstro/AutoProf-Legacy/commit/d6a7e259e48da109eef286a6dc136e57c00904a0,2,1
/ConnorStoneAstro/AutoProf-Legacy/pull/6,2,1
/ConnorStoneAstro/AutoProf-Legacy/tree/main,2,1
