url_path,views_total,views_unique
/Autostronomy/AutoProf,8,3
/Autostronomy/AutoProf/tree/main/test,8,2
/Autostronomy/AutoProf/blob/main/test/test_config.py,6,1
/Autostronomy/AutoProf/tree/main/autoprof,4,2
/Autostronomy/AutoProf/blob/main/autoprof/autoprofutils/Diagnostic_Plots.py,4,1
/Autostronomy/AutoProf/blob/main/docs/Makefile,4,1
/Autostronomy/AutoProf/blob/main/test/test_custom_config.py,4,1
/Autostronomy/AutoProf/blob/main/docs/autoprof.rst,2,1
/Autostronomy/AutoProf/blob/main/docs/autoprofutils.rst,2,1
/Autostronomy/AutoProf/blob/main/docs/citation.rst,2,1
