url_path,views_total,views_unique
/Autostronomy/AutoProf/tree/main/autoprof,23,2
/Autostronomy/AutoProf/tree/main/test,20,5
/Autostronomy/AutoProf/blob/main/autoprof/autoprof.py,12,1
/Autostronomy/AutoProf/tree/main/docs,10,2
/Autostronomy/AutoProf,7,3
/Autostronomy/AutoProf/tree/main,5,3
/Autostronomy/AutoProf/blob/main/README.md,5,2
/Autostronomy/AutoProf/blob/main/requirements.txt,5,2
/Autostronomy/AutoProf/blame/main/autoprof/autoprof.py,4,1
/Autostronomy/AutoProf/tree/main/autoprof/_static,4,1
