url_path,views_total,views_unique
/Autostronomy/AutoProf/tree/main/docs,23,3
/Autostronomy/AutoProf,16,9
/Autostronomy/AutoProf/tree/main/test,15,4
/Autostronomy/AutoProf/tree/main/autoprof,14,4
/Autostronomy/AutoProf/tree/main,10,4
/Autostronomy/AutoProf/tree/main/docs/_build,8,3
/Autostronomy/AutoProf/blob/main/docs/getting_started.rst,8,2
/Autostronomy/AutoProf/tree/main/autoprof/pipeline_steps,8,2
/Autostronomy/AutoProf/blob/main/autoprof/pipeline_steps/Isophote_Extract.py,4,1
/Autostronomy/AutoProf/pulls,4,1
